"","age_years","gender3_factor","education_factor_7type","Ethnicity","vote_choice","vote2020","ideology"
"92",42,"Male","Post-graduate","Vietnamese","Donald Trump",1,"Moderate"
"93",55,"Female","High School or GED","Vietnamese","Donald Trump",1,"Moderate"
"94",18,"Male","Some college","Vietnamese","Joe Biden",1,"Somewhat Liberal"
"95",70,"Male","Bachelors 4-yr","Filipino","Joe Biden",1,"Very Liberal"
"96",49,"Male","Bachelors 4-yr","Vietnamese","Donald Trump",1,"Moderate"
"97",73,"Male","High School or GED","Vietnamese","Donald Trump",1,"Somewhat Conservative"
"98",32,"Female","Bachelors 4-yr","Filipino","Joe Biden",1,"Somewhat Conservative"
"99",33,"Female","Post-graduate","Vietnamese","Joe Biden",1,"Very Liberal"
"100",39,"Male","Post-graduate","Filipino","Joe Biden",1,"Somewhat Liberal"
"101",30,"Female","Post-graduate","Lao","Donald Trump",1,"Moderate"
"102",31,"Female","High School or GED","Thai","Donald Trump",0,"Somewhat Conservative"
"103",34,"Female","Post-graduate","Vietnamese","Joe Biden",1,"Somewhat Liberal"
"104",46,"Male","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Moderate"
"105",49,"Male","Post-graduate","Filipino","Joe Biden",1,"Somewhat Liberal"
"106",44,"Male","Post-graduate","Filipino","Joe Biden",1,"Moderate"
"107",54,"Female","Post-graduate","Thai","Donald Trump",1,"Moderate"
"108",54,"Female","Post-graduate","Thai","Donald Trump",1,"Moderate"
"109",35,"Female","Bachelors 4-yr","Cambodian","Joe Biden",1,"Very Liberal"
"110",34,"Female","Post-graduate","Filipino","Joe Biden",1,"Very Liberal"
"111",74,"Male","Bachelors 4-yr","Thai","Joe Biden",1,"Somewhat Conservative"
"112",33,"Female","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Moderate"
"113",45,"Female","Post-graduate","Thai","Joe Biden",1,"Somewhat Liberal"
"114",47,"Female","Post-graduate","Vietnamese","Joe Biden",1,"Very Liberal"
"115",34,"Male","Associates 2-yr","Filipino","Jo Jorgensen",1,"Somewhat Liberal"
"116",56,"Female","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Moderate"
"117",38,"Female","Associates 2-yr","Filipino","Donald Trump",0,"Somewhat Conservative"
"118",46,"Male","High School or GED","Thai","Joe Biden",1,"Very Conservative"
"119",29,"Female","Some college","Hmong","None of These",0,"Moderate"
"120",37,"Female","Post-graduate","Vietnamese","Donald Trump",1,"Somewhat Conservative"
"121",27,"Female","Bachelors 4-yr","Vietnamese","Donald Trump",1,"Somewhat Conservative"
"122",37,"Male","Bachelors 4-yr","Lao","Joe Biden",1,"Very Liberal"
"123",44,"Female","Bachelors 4-yr","Lao","Someone Else",1,"Moderate"
"124",18,"Female","Some college","Vietnamese","None of These",0,"Very Liberal"
"125",25,"Female","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Somewhat Liberal"
"126",25,"Female","Bachelors 4-yr","Hmong","Joe Biden",1,"Somewhat Conservative"
"127",64,"Male","Bachelors 4-yr","Filipino","Joe Biden",1,"Moderate"
"128",18,"Female","Some college","Vietnamese","Joe Biden",1,"Somewhat Liberal"
"129",36,"Female","Bachelors 4-yr","Lao","Jo Jorgensen",1,"Moderate"
"130",47,"Male","Post-graduate","Filipino","Joe Biden",1,"Somewhat Liberal"
"131",68,"Male","Post-graduate","Vietnamese","Donald Trump",1,"Somewhat Conservative"
"132",37,"Female","Associates 2-yr","Filipino","Donald Trump",1,"Moderate"
"133",35,"Male","Some college","Filipino","Joe Biden",1,"Somewhat Liberal"
"134",44,"Male","Bachelors 4-yr","Filipino","Joe Biden",1,"Somewhat Liberal"
"135",59,"Male","Associates 2-yr","Filipino","Joe Biden",1,"Somewhat Liberal"
"136",27,"Female","Some college","Filipino","Joe Biden",1,"Somewhat Liberal"
"137",59,"Male","Bachelors 4-yr","Filipino","Donald Trump",1,"Somewhat Conservative"
"138",48,"Female","Bachelors 4-yr","Filipino","Joe Biden",1,"Moderate"
"139",48,"Male","Some college","Filipino","Donald Trump",1,"Somewhat Conservative"
"140",35,"Male","Bachelors 4-yr","Thai","Joe Biden",1,"Very Liberal"
"141",39,"Male","Bachelors 4-yr","Filipino","Joe Biden",1,"Moderate"
"142",28,"Male","Bachelors 4-yr","Filipino","Joe Biden",1,"Very Liberal"
"143",34,"Male","Associates 2-yr","Filipino","Joe Biden",1,"Somewhat Liberal"
"144",46,"Male","Some college","Filipino","Joe Biden",1,"Moderate"
"145",30,"Female","Post-graduate","Vietnamese","Joe Biden",1,"Moderate"
"146",68,"Male","High School or GED","Filipino","Joe Biden",1,"Somewhat Conservative"
"147",40,"Female","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Moderate"
"148",40,"Female","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Moderate"
"149",42,"Female","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Moderate"
"150",42,"Female","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Moderate"
"151",33,"Female","Associates 2-yr","Filipino","Donald Trump",1,"Moderate"
"152",18,"Female","Some college","Thai","None of These",0,"Very Conservative"
"153",36,"Male","Post-graduate","Vietnamese","Joe Biden",1,"Moderate"
"154",31,"Female","Associates 2-yr","Vietnamese","Donald Trump",1,"Somewhat Liberal"
"155",33,"Male","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Somewhat Liberal"
"156",41,"Female","Some college","Thai","Joe Biden",0,"Moderate"
"157",42,"Male","Post-graduate","Vietnamese","Donald Trump",1,"Somewhat Liberal"
"158",28,"Male","Bachelors 4-yr","Filipino","Joe Biden",1,"Very Liberal"
"159",25,"Male","Some college","Vietnamese","Joe Biden",1,"Somewhat Liberal"
"160",59,"Female","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Moderate"
"161",38,"Female","Post-graduate","Vietnamese","Donald Trump",1,"Moderate"
"162",57,"Male","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Somewhat Liberal"
"163",19,"Male","Some college","Vietnamese","Joe Biden",1,"Somewhat Liberal"
"164",54,"Female","High School or GED","Filipino","Donald Trump",1,"Moderate"
"165",44,"Male","Bachelors 4-yr","Lao","Joe Biden",1,"Somewhat Conservative"
"166",60,"Female","Some High School","Vietnamese","Joe Biden",1,"Very Conservative"
"167",19,"Female","High School or GED","Vietnamese","Joe Biden",1,"Somewhat Liberal"
"168",64,"Male","Bachelors 4-yr","Filipino","Joe Biden",1,"Somewhat Conservative"
"169",31,"Female","Post-graduate","Vietnamese","Joe Biden",1,"Very Liberal"
"170",59,"Female","Bachelors 4-yr","Filipino","Donald Trump",1,"Somewhat Conservative"
"171",45,"Female","Post-graduate","Filipino","Joe Biden",1,"Somewhat Conservative"
"172",25,"Female","Bachelors 4-yr","Thai","Joe Biden",1,"Very Liberal"
"173",77,"Male","Post-graduate","Filipino","Howie Hawkins",1,"Moderate"
"174",41,"Female","Associates 2-yr","Vietnamese","Joe Biden",1,"Moderate"
"175",37,"Male","Bachelors 4-yr","Vietnamese","Donald Trump",0,"Somewhat Liberal"
"176",60,"Male","Post-graduate","Filipino","Joe Biden",1,"Moderate"
"177",41,"Female","Some college","Filipino","Joe Biden",1,"Somewhat Liberal"
"178",43,"Female","Bachelors 4-yr","Vietnamese","Jo Jorgensen",1,"Moderate"
"179",47,"Female","Post-graduate","Vietnamese","Joe Biden",1,"Moderate"
"180",41,"Female","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Moderate"
"181",40,"Female","Bachelors 4-yr","Vietnamese","Donald Trump",1,"Moderate"
"182",54,"Female","Bachelors 4-yr","Filipino","Donald Trump",1,"Somewhat Conservative"
"183",30,"Female","Post-graduate","Vietnamese","Joe Biden",1,"Moderate"
"184",53,"Male","Bachelors 4-yr","Filipino","Joe Biden",1,"Moderate"
"185",21,"Male","Some college","Vietnamese","Joe Biden",1,"Somewhat Liberal"
"186",47,"Male","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Moderate"
"187",45,"Female","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Moderate"
"188",36,"Male","Post-graduate","Vietnamese","Joe Biden",0,"Somewhat Liberal"
"189",35,"Male","Bachelors 4-yr","Vietnamese","Donald Trump",1,"Moderate"
"190",44,"Female","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Moderate"
"191",38,"Male","Some college","Vietnamese","Joe Biden",1,"Somewhat Liberal"
"192",45,"Male","Bachelors 4-yr","Vietnamese","Donald Trump",1,"Moderate"
"193",35,"Male","Bachelors 4-yr","Filipino","Donald Trump",1,"Somewhat Conservative"
"194",51,"Female","Bachelors 4-yr","Filipino","Donald Trump",0,"Moderate"
"195",32,"Male","Bachelors 4-yr","Vietnamese","Donald Trump",1,"Somewhat Conservative"
"196",45,"Female","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Moderate"
"197",70,"Female","Bachelors 4-yr","Filipino","Donald Trump",1,"Moderate"
"198",70,"Male","Post-graduate","Vietnamese","Joe Biden",1,"Moderate"
"199",49,"Female","Post-graduate","Filipino","Joe Biden",1,"Moderate"
"200",27,"Male","Post-graduate","Cambodian","Joe Biden",1,"Very Liberal"
"201",35,"Female","Bachelors 4-yr","Filipino","Joe Biden",1,"Somewhat Liberal"
"202",64,"Male","Associates 2-yr","Vietnamese","Joe Biden",1,"Moderate"
"203",35,"Male","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Moderate"
"204",34,"Male","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Somewhat Liberal"
"205",57,"Male","Post-graduate","Filipino","Joe Biden",1,"Moderate"
"206",31,"Female","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Moderate"
"207",30,"Female","Some college","Filipino","Donald Trump",1,"Moderate"
"208",33,"Female","Bachelors 4-yr","Vietnamese","Donald Trump",1,"Moderate"
"209",49,"Male","Post-graduate","Filipino","Joe Biden",1,"Moderate"
"210",33,"Female","Bachelors 4-yr","Lao","Jo Jorgensen",1,"Somewhat Conservative"
"211",32,"Female","High School or GED","Filipino","Donald Trump",1,"Somewhat Conservative"
"212",63,"Female","Grades 1-8","Filipino","Donald Trump",1,"Somewhat Conservative"
"213",26,"Female","Post-graduate","Vietnamese","Joe Biden",1,"Moderate"
"214",31,"Female","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Somewhat Liberal"
"215",57,"Female","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Somewhat Conservative"
"216",31,"Female","Some college","Vietnamese","Joe Biden",1,"Moderate"
"217",44,"Female","High School or GED","Vietnamese","Joe Biden",1,"Moderate"
"218",57,"Female","Post-graduate","Filipino","Joe Biden",1,"Very Liberal"
"219",65,"Female","Bachelors 4-yr","Filipino","Joe Biden",1,"Moderate"
"220",75,"Male","Post-graduate","Filipino","Donald Trump",1,"Moderate"
"221",35,"Male","Post-graduate","Filipino","Joe Biden",1,"Moderate"
"222",51,"Male","Bachelors 4-yr","Filipino","Joe Biden",1,"Somewhat Conservative"
"223",32,"Male","Bachelors 4-yr","Filipino","Joe Biden",1,"Moderate"
"224",26,"Male","High School or GED","Filipino","Joe Biden",1,"Somewhat Liberal"
"225",45,"Female","Bachelors 4-yr","Filipino","Someone Else",1,"Moderate"
"226",41,"Female","Bachelors 4-yr","Filipino","Joe Biden",1,"Somewhat Liberal"
"227",41,"Female","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Moderate"
"228",31,"Female","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Moderate"
"229",55,"Female","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Moderate"
"230",60,"Female","Associates 2-yr","Filipino","Joe Biden",1,"Moderate"
"231",44,"Male","Bachelors 4-yr","Filipino","Joe Biden",1,"Moderate"
"232",32,"Female","Post-graduate","Cambodian","Joe Biden",1,"Somewhat Liberal"
"233",34,"Male","Bachelors 4-yr","Thai","Joe Biden",1,"Moderate"
"234",42,"Female","Some college","Filipino","Joe Biden",1,"Moderate"
"235",62,"Female","Post-graduate","Filipino","Joe Biden",1,"Somewhat Liberal"
"236",52,"Female","Post-graduate","Filipino","Joe Biden",1,"Moderate"
"237",28,"Female","Post-graduate","Filipino","Joe Biden",1,"Somewhat Liberal"
"238",48,"Female","Post-graduate","Filipino","Joe Biden",1,"Moderate"
"239",32,"Female","Some college","Vietnamese","Donald Trump",1,"Moderate"
"240",44,"Female","Bachelors 4-yr","Vietnamese","Donald Trump",1,"Somewhat Conservative"
"241",37,"Female","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Moderate"
"242",33,"Female","Bachelors 4-yr","Filipino","Donald Trump",1,"Moderate"
"243",43,"Male","Bachelors 4-yr","Filipino","Joe Biden",1,"Somewhat Liberal"
"244",31,"Male","Bachelors 4-yr","Filipino","Joe Biden",1,"Moderate"
"245",38,"Male","Associates 2-yr","Filipino","Joe Biden",1,"Very Liberal"
"246",29,"Female","Bachelors 4-yr","Filipino","Joe Biden",1,"Moderate"
"247",48,"Female","Bachelors 4-yr","Filipino","Joe Biden",1,"Moderate"
"248",51,"Male","Bachelors 4-yr","Filipino","Joe Biden",1,"Very Liberal"
"249",84,"Male","Post-graduate","Filipino","Donald Trump",1,"Somewhat Conservative"
"250",40,"Female","Bachelors 4-yr","Filipino","Joe Biden",1,"Somewhat Liberal"
"251",57,"Male","Bachelors 4-yr","Filipino","Joe Biden",1,"Somewhat Liberal"
"252",39,"Female","Bachelors 4-yr","Filipino","Joe Biden",1,"Somewhat Liberal"
"253",65,"Male","Post-graduate","Vietnamese","Donald Trump",1,"Somewhat Conservative"
"254",34,"Female","Post-graduate","Vietnamese","Donald Trump",1,"Somewhat Conservative"
"255",49,"Female","Some High School","Vietnamese","Donald Trump",1,"Moderate"
"256",40,"Male","Bachelors 4-yr","Vietnamese","Donald Trump",1,"Moderate"
"257",51,"Female","Associates 2-yr","Vietnamese","Donald Trump",1,"Moderate"
"258",45,"Male","Post-graduate","Vietnamese","Donald Trump",1,"Somewhat Conservative"
"259",54,"Male","Some college","Filipino","Joe Biden",1,"Somewhat Liberal"
"260",36,"Female","High School or GED","Cambodian","Howie Hawkins",1,"Very Conservative"
"261",53,"Male","Post-graduate","Vietnamese","Joe Biden",1,"Moderate"
"262",51,"Male","Bachelors 4-yr","Filipino","Joe Biden",1,"Somewhat Liberal"
"263",24,"Male","Bachelors 4-yr","Filipino","Joe Biden",1,"Moderate"
"264",26,"Female","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Somewhat Liberal"
"265",28,"Female","Post-graduate","Filipino","Joe Biden",1,"Very Liberal"
"266",41,"Female","Post-graduate","Filipino","Joe Biden",1,"Somewhat Liberal"
"267",47,"Male","Bachelors 4-yr","Filipino","Joe Biden",1,"Moderate"
"268",37,"Female","Bachelors 4-yr","Filipino","Joe Biden",1,"Somewhat Liberal"
"269",40,"Female","Bachelors 4-yr","Filipino","Joe Biden",1,"Moderate"
"270",39,"Male","Post-graduate","Filipino","Joe Biden",1,"Very Liberal"
"271",23,"Female","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Very Liberal"
"272",32,"Female","Post-graduate","Filipino","Joe Biden",1,"Moderate"
"273",49,"Male","Bachelors 4-yr","Thai","Donald Trump",1,"Moderate"
"274",41,"Female","Some college","Vietnamese","Donald Trump",1,"Moderate"
"275",27,"Male","Post-graduate","Vietnamese","Joe Biden",0,"Somewhat Liberal"
"276",54,"Male","Post-graduate","Filipino","Joe Biden",1,"Somewhat Liberal"
"277",56,"Female","Bachelors 4-yr","Filipino","Joe Biden",1,"Very Liberal"
"278",44,"Male","Bachelors 4-yr","Filipino","Joe Biden",1,"Moderate"
"279",33,"Female","Bachelors 4-yr","Filipino","Joe Biden",1,"Somewhat Liberal"
"280",73,"Male","Bachelors 4-yr","Filipino","Joe Biden",1,"Moderate"
"281",57,"Male","Associates 2-yr","Filipino","Donald Trump",1,"Somewhat Conservative"
"282",27,"Male","Bachelors 4-yr","Vietnamese","Donald Trump",1,"Somewhat Conservative"
"283",51,"Female","Associates 2-yr","Filipino","Joe Biden",1,"Somewhat Liberal"
"284",48,"Male","Bachelors 4-yr","Filipino","Donald Trump",1,"Somewhat Liberal"
"285",35,"Male","Post-graduate","Vietnamese","Joe Biden",1,"Very Liberal"
"286",80,"Male","Bachelors 4-yr","Filipino","Donald Trump",1,"Somewhat Conservative"
"287",48,"Female","Bachelors 4-yr","Filipino","Joe Biden",1,"Somewhat Liberal"
"288",49,"Female","Bachelors 4-yr","Filipino","Donald Trump",1,"Very Conservative"
"289",47,"Female","Post-graduate","Vietnamese","Joe Biden",0,"Moderate"
"290",57,"Female","Bachelors 4-yr","Filipino","Joe Biden",1,"Moderate"
"291",22,"Female","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Somewhat Liberal"
"292",33,"Female","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Moderate"
"293",74,"Female","Some college","Filipino","Joe Biden",1,"Somewhat Conservative"
"294",36,"Female","Some college","Cambodian","Joe Biden",1,"Moderate"
"295",34,"Male","Some college","Vietnamese","Joe Biden",1,"Very Liberal"
"296",68,"Female","Bachelors 4-yr","Filipino","Jo Jorgensen",1,"Very Conservative"
"297",56,"Female","Post-graduate","Vietnamese","Joe Biden",1,"Moderate"
"298",50,"Male","Post-graduate","Filipino","Jo Jorgensen",1,"Somewhat Liberal"
"299",26,"Female","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Somewhat Liberal"
"300",52,"Male","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Somewhat Liberal"
"301",51,"Female","Bachelors 4-yr","Filipino","Joe Biden",1,"Moderate"
"302",28,"Female","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Very Liberal"
"303",29,"Female","Post-graduate","Vietnamese","Joe Biden",1,"Somewhat Conservative"
"304",30,"Female","Post-graduate","Vietnamese","Joe Biden",1,"Somewhat Liberal"
"305",25,"Female","Post-graduate","Cambodian","Joe Biden",1,"Somewhat Liberal"
"306",47,"Female","Post-graduate","Vietnamese","Joe Biden",1,"Somewhat Liberal"
"307",27,"Female","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Very Liberal"
"308",71,"Male","Post-graduate","Vietnamese","Donald Trump",1,"Somewhat Conservative"
"309",28,"Female","Post-graduate","Vietnamese","Joe Biden",1,"Somewhat Liberal"
"310",31,"Female","Post-graduate","Vietnamese","Donald Trump",1,"Somewhat Conservative"
"311",20,"Female","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Somewhat Liberal"
"312",35,"Female","Bachelors 4-yr","Vietnamese","Donald Trump",0,"Moderate"
"313",64,"Female","Bachelors 4-yr","Vietnamese","Donald Trump",1,"Moderate"
"314",28,"Male","Some High School","Vietnamese","Joe Biden",0,"Moderate"
"315",20,"Female","Some college","Vietnamese","Joe Biden",1,"Very Liberal"
"316",37,"Male","Associates 2-yr","Vietnamese","Joe Biden",1,"Moderate"
"317",39,"Male","Bachelors 4-yr","Vietnamese","Donald Trump",1,"Somewhat Conservative"
"318",27,"Female","Some college","Vietnamese","Joe Biden",1,"Moderate"
"319",20,"Female","Some college","Vietnamese","Joe Biden",1,"Somewhat Liberal"
"320",71,"Female","Some college","Vietnamese","Donald Trump",1,"Somewhat Liberal"
"321",38,"Male","Associates 2-yr","Vietnamese","Donald Trump",1,"Somewhat Conservative"
"322",50,"Male","Post-graduate","Vietnamese","Someone Else",1,"Moderate"
"323",33,"Male","Some college","Filipino","Joe Biden",1,"Moderate"
"324",47,"Female","Associates 2-yr","Filipino","Joe Biden",1,"Moderate"
"325",43,"Male","Associates 2-yr","Filipino","Joe Biden",1,"Moderate"
"326",27,"Male","Bachelors 4-yr","Hmong","Joe Biden",1,"Somewhat Liberal"
"327",63,"Male","Bachelors 4-yr","Filipino","Donald Trump",1,"Moderate"
"328",49,"Female","Some college","Filipino","Joe Biden",1,"Very Conservative"
"329",60,"Female","Bachelors 4-yr","Filipino","Joe Biden",1,"Moderate"
"330",67,"Female","Bachelors 4-yr","Filipino","Joe Biden",1,"Moderate"
"331",40,"Female","Post-graduate","Vietnamese","Joe Biden",1,"Moderate"
"332",51,"Female","Associates 2-yr","Filipino","Joe Biden",1,"Very Conservative"
"333",39,"Male","Bachelors 4-yr","Filipino","Joe Biden",1,"Moderate"
